estimand_id,estimate,standard_error,ci_low,ci_high,confidence_level,row_type,analysis_id,time_period,period_role,included_years,outcome_years,n_paired,status,analysis_status,adjustment_set,primary_estimand_executed,formal_test_family,diabetes_denominator_mismatch_geographies,total_geography_universe,n_exposure_complete,n_outcome_complete,n_suppression_excluded,n_missing_exposure_excluded,n_denominator_mismatch_excluded,n_pair_excluded,iqr_source_population_id,candidate_id,disruption_status,continuity_review_status,exposure_source_id,exposure_snapshot_id,outcome_source_id,outcome_snapshot_id,outcome_lineage_id,outcome_provenance_contract,model_id,n,hypertension_iqr,diabetes_iqr,copd_iqr,covariance_type,estimator,interpretation
C1,,,,,0.975,association_model,annual_2022,2022,primary_annual,2022,2022,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-D,,,,,0.95,association_model,annual_2022,2022,primary_annual,2022,2022,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-H,,,,,0.95,association_model,annual_2022,2022,primary_annual,2022,2022,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C2,-6.54375845598,0.756433907506,-8.23923147952,-4.84828543245,0.975,association_model,annual_2022,2022,primary_annual,2022,2022,77,supported_sensitivity_not_primary,supported_temporal_sensitivity_not_primary,unadjusted,False,not_applicable_no_formal_p_values,0,77,77,77,0,0,0,0,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,C2_unadjusted,77,,,3.68061861872,HC3,unweighted_ols,noncausal_ecological_association
C1,,,,,0.975,association_model,annual_2023,2023,primary_annual,2023,2023,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-D,,,,,0.95,association_model,annual_2023,2023,primary_annual,2023,2023,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-H,,,,,0.95,association_model,annual_2023,2023,primary_annual,2023,2023,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C2,-5.9695570319,0.553368326231,-7.20987830768,-4.72923575611,0.975,association_model,annual_2023,2023,primary_annual,2023,2023,76,supported_sensitivity_not_primary,supported_temporal_sensitivity_not_primary,unadjusted,False,not_applicable_no_formal_p_values,0,77,76,77,1,0,0,1,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,C2_unadjusted,76,,,3.68061861872,HC3,unweighted_ols,noncausal_ecological_association
C1,,,,,0.975,association_model,annual_2024,2024,primary_annual,2024,2024,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-D,,,,,0.95,association_model,annual_2024,2024,primary_annual,2024,2024,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-H,,,,,0.95,association_model,annual_2024,2024,primary_annual,2024,2024,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C2,-5.74925418522,0.463289199417,-6.78767186046,-4.71083650998,0.975,association_model,annual_2024,2024,primary_annual,2024,2024,76,supported_sensitivity_not_primary,supported_temporal_sensitivity_not_primary,unadjusted,False,not_applicable_no_formal_p_values,0,77,76,77,1,0,0,1,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,C2_unadjusted,76,,,3.68061861872,HC3,unweighted_ols,noncausal_ecological_association
C1,,,,,0.975,association_model,most_recent_common_outcome_alignment,2022-2024,outcome_alignment_sensitivity,2022|2023|2024,2024,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-D,,,,,0.95,association_model,most_recent_common_outcome_alignment,2022-2024,outcome_alignment_sensitivity,2022|2023|2024,2024,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C1-H,,,,,0.95,association_model,most_recent_common_outcome_alignment,2022-2024,outcome_alignment_sensitivity,2022|2023|2024,2024,0,withheld_no_eligible_pairs,withheld_no_eligible_pairs,unadjusted,False,not_applicable_no_formal_p_values,0,77,0,77,0,0,0,77,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,,,,,,,,
C2,-5.68999804603,0.539105686001,-6.8983510011,-4.48164509096,0.975,association_model,most_recent_common_outcome_alignment,2022-2024,outcome_alignment_sensitivity,2022|2023|2024,2024,76,supported_sensitivity_not_primary,supported_temporal_sensitivity_not_primary,unadjusted,False,not_applicable_no_formal_p_values,0,77,76,77,1,0,0,1,pooled_2022_2024_model_specific_eligible_population,,,,capricorn_chicagohealthmap_export_2026_05_27,capricorn_chicagohealthmap_export_2026_05_27_2026-05-27,chicago_health_atlas_life_expectancy,chicago_health_atlas_life_expectancy_2026-07-13,config/source_registry.yml#chicago_health_atlas_life_expectancy,registered_frozen_public_source_lineage,C2_unadjusted,76,,,3.68061861872,HC3,unweighted_ols,noncausal_ecological_association
